"ALIGN_SPLIT","OPTIMIZE_SPLIT","OPTIMIZE_REPS","CUDA_THREADS","N_RESTART","CLIPPING","SIM_THRESH","BUFFER_SIZE","TIME","AVG_RMSD","AVG_RMSD^3_TIME"
12,8,3,224,256,10,2,52428800,111.023,2.8,2437.176896
12,8,4,128,1024,256,3,2097152,414.751,2.27,4851.376871333
12,12,1,32,256,50,3,5242880,67.872,2.47,1022.778303456
12,12,1,64,256,50,3,10485760,72.565,2.47,1093.498166995
12,12,1,224,1024,30,4,52428800,223.149,2.72,4490.571927552
12,12,2,32,256,50,4,5242880,99.698,2.42,1412.968708624
12,12,2,192,1024,30,2,2097152,304.357,2.48,4642.354886144
12,12,4,128,1024,256,2,1048576,489.191,2.2,5208.905768
12,12,4,256,256,30,1,10485760,143.864,2.46,2141.694160704
12,12,4,256,1024,256,1,20971520,518.719,2.17,5300.433101047
12,12,5,64,256,50,3,52428800,188.861,2.41,2643.585813581
12,12,5,96,1024,50,2,52428800,593.471,2.34,7604.086949784
12,12,5,128,1024,10,3,52428800,555.479,2.84,12723.970839616
12,16,1,64,256,10,1,2097152,95.859,2.71,1907.834801949
12,16,1,64,256,50,1,2097152,82.338,2.35,1068.57227175
12,16,1,128,256,50,3,1048576,90.447,2.42,1281.859022136
12,16,3,64,256,10,2,5242880,140.289,2.69,2730.740676501
12,16,3,64,1024,256,4,10485760,573.657,2.2,6108.299736
12,20,1,64,256,256,3,10485760,98.141,2.19,1030.819969719
12,20,1,64,256,256,3,20971520,104.266,2.19,1095.153656094
12,20,1,64,256,256,4,2097152,105.786,2.19,1111.118913774
12,20,1,96,256,50,3,52428800,93.438,2.44,1357.353643392
12,20,1,96,1024,30,4,2097152,245.47,2.61,4364.35374807
12,20,1,128,1024,256,1,10485760,243.218,2.18,2519.794906576
12,20,1,256,256,256,4,1048576,97.277,2.19,1021.744981143
12,20,2,32,1024,10,1,52428800,358.391,2.9,8740.798099
12,20,3,32,1024,30,1,52428800,483.605,2.45,7111.955580625
12,20,5,64,256,50,1,5242880,241.889,2.33,3059.735477593
12,20,5,128,1024,30,2,5242880,723.509,2.45,10640.013792625
12,24,1,160,256,256,2,10485760,101.144,2.14,991.245993536
12,24,1,160,1024,10,1,10485760,249.374,2.8,5474.258048
12,24,1,192,1024,256,3,20971520,275.538,2.22,3014.674483824
12,24,3,96,256,50,3,10485760,155.754,2.34,1995.661049616
12,24,3,96,1024,256,1,1048576,588.043,2.09,5368.438013147
12,24,4,96,256,30,2,20971520,187.888,2.37,2501.175014064
12,24,4,160,256,30,1,52428800,183.425,2.39,2504.103242575
12,24,5,32,256,30,1,52428800,210.6,2.39,2875.0941414
12,32,1,32,256,50,2,1048576,100.345,2.35,1302.264866875
12,32,2,128,256,256,3,20971520,145.017,2.1,1343.002437
12,32,2,224,1024,10,4,5242880,547.628,2.88,13081.667567616
12,32,3,64,1024,30,2,1048576,830.697,2.39,11340.608157543
12,32,3,160,256,50,4,20971520,170.116,2.36,2236.048253696
12,32,5,32,1024,50,2,2097152,967.501,2.31,11925.795618891
12,48,1,256,1024,256,4,10485760,413.959,2.27,4842.112781597
12,48,2,64,1024,10,3,5242880,787.776,2.7,15505.795008
12,48,2,224,256,30,1,10485760,189.648,2.43,2721.241514736
12,48,2,224,1024,256,4,1048576,727.863,2.22,7963.584020424
12,48,3,96,1024,10,2,5242880,886.693,2.75,18440.443484375
12,48,3,256,1024,256,3,52428800,904.632,2.17,9243.812925816
12,48,4,32,256,30,3,5242880,272.626,2.45,4009.27203425
12,48,4,64,1024,30,1,2097152,1399.502,2.42,19834.425300976
12,48,5,160,1024,50,4,2097152,1302.32,2.46,19387.55449152
12,48,5,192,1024,10,2,1048576,1392.992,2.79,30252.497385888
12,72,2,32,256,10,1,10485760,206.875,2.77,4396.907389375
12,72,3,128,1024,256,2,20971520,1158.378,2.13,11194.098165666
12,72,3,192,256,30,1,10485760,307.163,2.41,4299.520542923
12,72,3,256,256,50,3,1048576,315.375,2.34,4040.869599
12,72,4,160,1024,50,3,52428800,1460.398,2.38,19688.022666256
12,72,4,192,1024,30,3,10485760,1551.251,2.47,23376.147247973
12,72,5,32,1024,256,4,5242880,1787.562,2.21,19294.695756882
16,8,1,160,1024,50,3,1048576,190.075,2.43,2727.368498025
16,8,3,256,256,256,1,5242880,120.149,2.12,1144.795051072
