#vm,ram,time,cost
-1.5084301680930963,-0.44416565788498674,2260961,6782883
-1.5084301680930963,-0.44416565788498674,2600185,7800555
-1.5084301680930963,-0.44416565788498674,2540812,7622436
-1.5084301680930963,-0.44416565788498674,2564771,7694313
-1.5084301680930963,-0.44416565788498674,2287926,6863778
-1.5084301680930963,-0.44416565788498674,2548205,7644615
-1.5084301680930963,-0.44416565788498674,2552935,7658805
-1.5084301680930963,-0.44416565788498674,2629937,7889811
-1.5084301680930963,-0.44416565788498674,2477274,7431822
-1.5084301680930963,-0.44416565788498674,2288499,6865497
-1.3627366630982594,-0.44416565788498674,2003846,8015384
-1.3627366630982594,-0.44416565788498674,2064675,8258700
-1.3627366630982594,-0.44416565788498674,1925036,7700144
-1.3627366630982594,-0.44416565788498674,2036057,8144228
-1.3627366630982594,-0.44416565788498674,1938723,7754892
-1.3627366630982594,-0.44416565788498674,2184368,8737472
-1.3627366630982594,-0.44416565788498674,1908782,7635128
-1.3627366630982594,-0.44416565788498674,2046586,8186344
-1.3627366630982594,-0.44416565788498674,1919926,7679704
-1.3627366630982594,-0.44416565788498674,2113125,8452500
-1.2170431581034225,-0.44416565788498674,1887321,9436605
-1.2170431581034225,-0.44416565788498674,1756290,8781450
-1.2170431581034225,-0.44416565788498674,1572669,7863345
-1.2170431581034225,-0.44416565788498674,1843188,9215940
-1.2170431581034225,-0.44416565788498674,1759421,8797105
-1.2170431581034225,-0.44416565788498674,1920129,9600645
-1.2170431581034225,-0.44416565788498674,1818395,9091975
-1.2170431581034225,-0.44416565788498674,1467214,7336070
-1.2170431581034225,-0.44416565788498674,1540318,7701590
-1.2170431581034225,-0.44416565788498674,1941143,9705715
-1.2170431581034225,-0.44416565788498674,1743659,8718295
-1.2170431581034225,-0.44416565788498674,1898404,9492020
-1.2170431581034225,-0.44416565788498674,1487740,7438700
-1.2170431581034225,-0.44416565788498674,1557110,7785550
-1.2170431581034225,-0.44416565788498674,1584349,7921745
-1.0713496531085855,-0.44416565788498674,1578539,9471234
-1.0713496531085855,-0.44416565788498674,1586444,9518664
-1.0713496531085855,-0.44416565788498674,1696050,10176300
-1.0713496531085855,-0.44416565788498674,1669472,10016832
-1.0713496531085855,-0.44416565788498674,1630605,9783630
-0.9256561481137485,-0.44416565788498674,1468109,10276763
-0.9256561481137485,-0.44416565788498674,1360464,9523248
-0.9256561481137485,-0.44416565788498674,1362808,9539656
-0.9256561481137485,-0.44416565788498674,1360008,9520056
-0.9256561481137485,-0.44416565788498674,1395630,9769410
-0.9256561481137485,-0.44416565788498674,1358401,9508807
-0.9256561481137485,-0.44416565788498674,1380325,9662275
-0.9256561481137485,-0.44416565788498674,1394206,9759442
-0.9256561481137485,-0.44416565788498674,1420060,9940420
-0.9256561481137485,-0.44416565788498674,1315140,9205980
-0.9256561481137485,-0.44416565788498674,1375187,9626309
-0.9256561481137485,-0.44416565788498674,1406403,9844821
