confidence,hypo_step,max_arm_length,num_threads,exec_time_s,cost
14,2,7,32,86.73,2775360
64,1,7,32,126.08,4034560
54,1,7,32,125.05,4001600
44,1,7,32,130.16,4165120
34,1,7,32,122.23,3911360
24,1,7,32,126.68,4053760
14,1,7,32,138.75,4440000
64,3,6,32,65.18,2085760
54,3,6,32,66.73,2135360
44,3,6,32,78.74,2519680
34,3,6,32,68.52,2192640
24,3,6,32,70.02,2240640
14,3,6,32,68.99,2207680
64,2,6,32,82.41,2637120
54,2,6,32,79.64,2548480
44,2,6,32,84.1,2691200
34,2,6,32,82.18,2629760
24,2,6,32,75.37,2411840
14,2,6,32,78.1,2499200
64,1,6,32,125.0,4000000
54,1,6,32,117.59,3762880
44,1,6,32,121.12,3875840
34,1,6,32,120.11,3843520
24,1,6,32,127.5,4080000
14,1,6,32,118.36,3787520
64,3,5,32,69.23,2215360
54,3,5,32,74.68,2389760
54,3,5,32,59.01,1888320
34,3,5,32,72.1,2307200
24,3,5,32,58.31,1865920
14,3,5,32,68.63,2196160
64,2,5,32,72.52,2320640
54,2,5,32,74.35,2379200
44,2,5,32,77.33,2474560
34,2,5,32,73.36,2347520
24,2,5,32,76.22,2439040
14,2,5,32,85.64,2740480
64,1,5,32,119.58,3826560
54,1,5,32,121.63,3892160
44,1,5,32,125.13,4004160
34,1,5,32,122.36,3915520
24,1,5,32,120.76,3864320
14,1,5,32,127.58,4082560
64,3,4,32,67.07,2146240
54,3,4,32,59.24,1895680
44,3,4,32,58.85,1883200
34,3,4,32,68.5,2192000
24,3,4,32,75.29,2409280
14,3,4,32,54.24,1735680
64,2,4,32,76.91,2461120
54,2,4,32,78.71,2518720
44,2,4,32,71.6,2291200
34,2,4,32,72.66,2325120
24,2,4,32,82.62,2643840
14,2,4,32,80.62,2579840
64,1,4,32,112.93,3613760
54,1,4,32,113.87,3643840
44,1,4,32,113.85,3643200
34,1,4,32,112.05,3585600
24,1,4,32,113.81,3641920
14,1,4,32,111.81,3577920
64,3,3,32,60.2,1926400
54,3,3,32,62.17,1989440
44,3,3,32,63.8,2041600
34,3,3,32,57.84,1850880
24,3,3,32,63.75,2040000
14,3,3,32,67.96,2174720
64,2,3,32,84.0,2688000
54,2,3,32,84.96,2718720
44,2,3,32,83.33,2666560
34,2,3,32,86.16,2757120
24,2,3,32,78.79,2521280
14,2,3,32,79.96,2558720
64,1,3,32,115.9,3708800
54,1,3,32,115.77,3704640
44,1,3,32,131.32,4202240
34,1,3,32,122.2,3910400
24,1,3,32,114.64,3668480
14,1,3,32,115.88,3708160
64,3,2,32,63.18,2021760
54,3,2,32,73.85,2363200
44,3,2,32,65.85,2107200
34,3,2,32,61.7,1974400
24,3,2,32,75.07,2402240
14,3,2,32,62.04,1985280
64,2,2,32,74.46,2382720
54,2,2,32,80.51,2576320
44,2,2,32,73.53,2352960
34,2,2,32,73.97,2367040
24,2,2,32,74.35,2379200
14,2,2,32,77.86,2491520
64,1,2,32,108.72,3479040
54,1,2,32,112.88,3612160
44,1,2,32,118.19,3782080
34,1,2,32,117.62,3763840
24,1,2,32,113.99,3647680
14,1,2,32,120.01,3840320
64,3,1,32,69.38,2220160
54,3,1,32,80.82,2586240
44,3,1,32,75.39,2412480
34,3,1,32,72.73,2327360
24,3,1,32,64.46,2062720
14,3,1,32,66.19,2118080
64,2,1,32,82.22,2631040
54,2,1,32,76.51,2448320
44,2,1,32,78.73,2519360
34,2,1,32,70.65,2260800
24,2,1,32,64.65,2068800
14,2,1,32,88.06,2817920
64,1,1,32,114.59,3666880
54,1,1,32,115.64,3700480
44,1,1,32,110.24,3527680
34,1,1,32,111.32,3562240
24,1,1,32,117.27,3752640
14,1,1,32,110.48,3535360
64,3,16,31,68.39,2120090
54,3,16,31,68.74,2130940
44,3,16,31,69.42,2152020
34,3,16,31,73.06,2264860
24,3,16,31,73.31,2272610
14,3,16,31,71.05,2202550
64,2,16,31,87.28,2705680
54,2,16,31,84.22,2610820
44,2,16,31,86.25,2673750
34,2,16,31,84.33,2614230
24,2,16,31,83.69,2594390
14,2,16,31,85.58,2652980
14,2,16,31,90.2,2796200
54,1,16,31,131.91,4089210
44,1,16,31,132.72,4114320
34,1,16,31,133.58,4140980
24,1,16,31,128.88,3995280
14,1,16,31,129.22,4005820
64,3,15,31,67.84,2103040
54,3,15,31,66.96,2075760
44,3,15,31,70.32,2179920
34,3,15,31,72.95,2261450
24,3,15,31,69.83,2164730
14,3,15,31,70.37,2181470
64,2,15,31,87.27,2705370
54,2,15,31,85.21,2641510
44,2,15,31,86.58,2683980
34,2,15,31,85.59,2653290
24,2,15,31,88.29,2736990
14,2,15,31,83.91,2601210
64,1,15,31,128.59,3986290
54,1,15,31,128.78,3992180
44,1,15,31,130.33,4040230
34,1,15,31,129.67,4019770
24,1,15,31,132.67,4112770
14,1,15,31,128.74,3990940
64,3,14,31,66.45,2059950
54,3,14,31,74.21,2300510
44,3,14,31,69.59,2157290
34,3,14,31,71.89,2228590
24,3,14,31,69.1,2142100
14,3,14,31,64.51,1999810
64,2,14,31,83.28,2581680
54,2,14,31,87.47,2711570
44,2,14,31,83.69,2594390
34,2,14,31,80.89,2507590
24,2,14,31,78.78,2442180
14,2,14,31,80.51,2495810
64,1,14,31,126.2,3912200
54,1,14,31,128.18,3973580
44,1,14,31,132.81,4117110
34,1,14,31,127.3,3946300
24,1,14,31,130.67,4050770
14,1,14,31,125.15,3879650
64,3,13,31,68.57,2125670
54,3,13,31,69.24,2146440
44,3,13,31,76.62,2375220
34,3,13,31,73.62,2282220
24,3,13,31,65.12,2018720
14,3,13,31,77.35,2397850
64,2,13,31,86.75,2689250
54,2,13,31,87.11,2700410
44,2,13,31,79.3,2458300
34,2,13,31,80.18,2485580
24,2,13,31,80.44,2493640
14,2,13,31,82.55,2559050
64,1,13,31,129.98,4029380
54,1,13,31,128.91,3996210
44,1,13,31,123.49,3828190
34,1,13,31,123.09,3815790
24,1,13,31,130.63,4049530
14,1,13,31,128.93,3996830
64,3,12,31,72.77,2255870
54,3,12,31,67.19,2082890
44,3,12,31,66.36,2057160
34,3,12,31,65.69,2036390
24,3,12,31,64.37,1995470
14,3,12,31,64.4,1996400
64,2,12,31,81.83,2536730
54,2,12,31,82.23,2549130
44,2,12,31,84.07,2606170
34,2,12,31,83.35,2583850
24,2,12,31,87.12,2700720
14,2,12,31,84.56,2621360
64,1,12,31,130.35,4040850
54,1,12,31,130.87,4056970
44,1,12,31,131.05,4062550
34,1,12,31,127.83,3962730
24,1,12,31,130.7,4051700
14,1,12,31,137.28,4255680
64,3,11,31,72.85,2258350
54,3,11,31,77.28,2395680
44,3,11,31,65.8,2039800
34,3,11,31,69.76,2162560
24,3,11,31,64.55,2001050
14,3,11,31,70.1,2173100
64,2,11,31,83.62,2592220
54,2,11,31,87.59,2715290
44,2,11,31,86.55,2683050
34,2,11,31,83.43,2586330
24,2,11,31,85.81,2660110
14,2,11,31,79.89,2476590
64,1,11,31,128.19,3973890
54,1,11,31,124.57,3861670
44,1,11,31,132.58,4109980
34,1,11,31,129.71,4021010
24,1,11,31,126.73,3928630
14,1,11,31,127.06,3938860
64,3,10,31,70.1,2173100
54,3,10,31,66.9,2073900
44,3,10,31,63.32,1962920
34,3,10,31,68.83,2133730
34,3,10,31,71.13,2205030
14,3,10,31,72.64,2251840
64,2,10,31,88.49,2743190
54,2,10,31,83.23,2580130
44,2,10,31,83.9,2600900
34,2,10,31,78.85,2444350
24,2,10,31,86.64,2685840
14,2,10,31,93.08,2885480
64,1,10,31,130.05,4031550
54,1,10,31,121.16,3755960
44,1,10,31,125.75,3898250
34,1,10,31,123.79,3837490
24,1,10,31,128.24,3975440
14,1,10,31,124.79,3868490
64,3,9,31,66.8,2070800
54,3,9,31,66.54,2062740
44,3,9,31,61.62,1910220
34,3,9,31,62.6,1940600
24,3,9,31,62.8,1946800
14,3,9,31,69.26,2147060
64,2,9,31,76.39,2368090
54,2,9,31,79.57,2466670
44,2,9,31,79.2,2455200
34,2,9,31,85.68,2656080
24,2,9,31,77.46,2401260
14,2,9,31,81.91,2539210
64,1,9,31,122.3,3791300
54,1,9,31,121.8,3775800
44,1,9,31,127.86,3963660
34,1,9,31,128.89,3995590
24,1,9,31,129.26,4007060
14,1,9,31,128.16,3972960
64,3,8,31,60.89,1887590
54,3,8,31,61.77,1914870
44,3,8,31,61.96,1920760
