ALIGN_SPLIT,OPTIMIZE_SPLIT,OPTIMIZE_REPS,CUDA_THREADS,N_RESTART,CLIPPING,SIM_THRESH,BUFFER_SIZE,TIME,AVG_RMSD,AVG_RMSD^3_TIME
0.24221893024422728,-0.6665993880100826,-0.7076132039650816,0.21235065586802102,-0.9472818984700816,-0.991487219783758,0.4558438113987569,-0.7835813558412643,-0.8223207034027787,2.64,2247.16073472
-0.9696471188439287,-1.0763930247010784,-1.414551419182343,-1.1864035595142055,-0.9472818984700816,-0.6166974165401864,-1.4500261226197317,-0.6041648848776343,-0.909211563155005,2.42,1219.528419912
-0.9696471188439287,-1.0763930247010784,-0.7076132039650816,-1.1864035595142055,1.055651967608651,-0.8040923181619721,0.4558438113987569,0.29291746994051593,-0.5432156350093374,2.63,4330.055555069
-0.9696471188439287,-1.0763930247010784,-0.7076132039650816,-0.2539007492593878,1.055651967608651,-0.6166974165401864,-1.4500261226197317,-0.8433868461624744,-0.4952897183238505,2.4,3565.596672
-0.9696471188439287,-1.0763930247010784,-0.7076132039650816,0.21235065586802102,-0.9472818984700816,1.3134700701642075,1.4087787784080013,2.087082179576816,-0.8783334111153429,2.16,996.391881216
-0.9696471188439287,-1.0763930247010784,-0.7076132039650816,1.6111048712502476,1.055651967608651,-0.991487219783758,1.4087787784080013,-0.6041648848776343,-0.43570562553291947,2.93,7110.21249119
-0.9696471188439287,-1.0763930247010784,-0.0006749887478202849,1.6111048712502476,1.055651967608651,-0.8040923181619721,-0.49709115561048745,0.29291746994051593,-0.2070767751047967,2.51,5971.194270357
-0.9696471188439287,-1.0763930247010784,0.7062632264694411,0.6786020609954299,-0.9472818984700816,1.3134700701642075,0.4558438113987569,-0.6041648848776343,-0.8252201960759774,2.15,1201.80793525
-0.9696471188439287,-1.0763930247010784,0.7062632264694411,1.6111048712502476,1.055651967608651,1.3134700701642075,-1.4500261226197317,-0.8433868461624744,0.0429490789789488,2.16,4851.695107584
-0.9696471188439287,-1.0763930247010784,1.4132014416867025,-0.2539007492593878,1.055651967608651,-0.8040923181619721,-0.49709115561048745,0.29291746994051593,0.07627397898868543,2.5,7738.546875
-0.9696471188439287,-1.0763930247010784,1.4132014416867025,0.21235065586802102,1.055651967608651,-0.991487219783758,-0.49709115561048745,2.087082179576816,-0.0008178478007124277,2.83,10499.761203685
-0.9696471188439287,-1.0763930247010784,1.4132014416867025,0.6786020609954299,-0.9472818984700816,-0.6166974165401864,1.4087787784080013,-0.8433868461624744,-0.7967550769753063,2.43,1904.760008622
-0.9696471188439287,-1.0763930247010784,1.4132014416867025,1.1448534661228387,-0.9472818984700816,-0.8040923181619721,-0.49709115561048745,-0.8433868461624744,-0.7738144065393509,2.48,2170.073677824
-0.9696471188439287,-1.0763930247010784,1.4132014416867025,1.1448534661228387,1.055651967608651,-0.6166974165401864,-0.49709115561048745,-0.8433868461624744,0.09338917369667783,2.44,7297.878585216
-0.9696471188439287,-0.8714962063555806,-0.0006749887478202849,-0.7201521543867967,-0.9472818984700816,-0.6166974165401864,0.4558438113987569,-0.7835813558412643,-0.7875701392215025,2.35,1772.25861
-0.9696471188439287,-0.8714962063555806,0.7062632264694411,-0.7201521543867967,-0.9472818984700816,-0.991487219783758,1.4087787784080013,0.29291746994051593,-0.7424690604975289,2.75,3229.505125
